  57 TAZ
 144 NTI
  1 1.00    0.00     9.3   6.599
  1 1.00    0.00     9.6   6.599
  1 1.00    0.00     9.5   6.599
  1 1.00    0.00     9.4   6.599
  1 1.00    0.00     9.5   6.599
  1 1.00    0.00     9.6   6.599
  1 1.00    0.00     9.5   6.599
  1 1.00    0.00     9.4   6.599
  1 1.00    0.00     9.5   6.599
  1 1.00    0.00     9.4   6.599
  1 1.00    0.00     9.4   6.599
  1 1.00    0.00     9.5   6.599
  1 1.00    0.00     9.5   6.599
  1 1.00    0.00     9.7   6.599
  1 1.00    0.00    10.0   6.599
  1 1.00    0.00    10.7   7.039
  1 1.00    0.00    10.5   6.599
  1 1.00    0.00    10.6   6.599
  1 1.00    0.00    11.7   6.599
  1 1.00    0.00    11.6   6.839
