hh_id,tour_id,stop_id,inbound,tour_purpose,orig_purpose,dest_purpose,orig_maz,orig_walk_segment,orig_park_maz,dest_maz,dest_walk_segment,parking_taz,stop_period,trip_mode,num_participants,tour_mode,tour_category,board_tap,alight_tap,orig_taz,dest_taz,orig_park_taz,dest_park_taz,driver,TripStartTime,TripActivityTime
3358930,1,-1,0,shop,Home,shop,1,0,0,20,0,0,26,5,2,5,JOINT_NON_MANDATORY,0,0,1,5,0,0,1,845,70
3358930,1,-1,1,shop,shop,Home,20,0,0,1,0,0,28,3,2,5,JOINT_NON_MANDATORY,0,0,5,1,0,0,1,917,519
3469873,0,-1,0,discretionary,Home,discretionary,1,0,0,21,0,0,29,5,4,5,JOINT_NON_MANDATORY,0,0,1,6,0,0,4,946,169
3469873,0,-1,1,discretionary,discretionary,Home,21,0,0,1,0,0,35,5,4,5,JOINT_NON_MANDATORY,0,0,6,1,0,0,4,1120,87
3469873,1,-1,0,discretionary,Home,discretionary,1,0,0,1,0,0,38,5,3,5,JOINT_NON_MANDATORY,0,0,1,1,0,0,3,1211,222
3469873,1,-1,1,discretionary,discretionary,Home,1,0,0,1,0,0,40,5,3,5,JOINT_NON_MANDATORY,0,0,1,1,0,0,3,1434,5
1113260,0,-1,0,eatingout,Home,eatingout,1,0,0,33,0,0,26,3,2,3,JOINT_NON_MANDATORY,0,0,1,9,0,0,2,865,89
1113260,0,-1,1,eatingout,eatingout,Home,33,0,0,1,0,0,30,3,2,3,JOINT_NON_MANDATORY,0,0,9,1,0,0,2,961,474
555241,0,-1,0,discretionary,Home,discretionary,1,0,0,9,0,0,27,3,2,3,JOINT_NON_MANDATORY,0,0,1,3,0,0,3,877,218
555241,0,-1,1,discretionary,discretionary,Home,9,0,0,1,0,0,34,3,2,3,JOINT_NON_MANDATORY,0,0,3,1,0,0,3,1097,340
2908382,0,-1,0,shop,Home,shop,1,0,0,5,0,0,27,3,2,3,JOINT_NON_MANDATORY,0,0,1,2,0,0,1,895,10
2908382,0,-1,1,shop,shop,Home,5,0,0,1,0,0,28,3,2,3,JOINT_NON_MANDATORY,0,0,2,1,0,0,1,906,70
483942,0,-1,0,shop,Home,shop,1,0,0,4,0,0,2,8,3,8,JOINT_NON_MANDATORY,0,0,1,1,0,0,-1,134,58
483942,0,-1,1,shop,shop,Home,4,0,0,1,0,0,5,8,3,8,JOINT_NON_MANDATORY,0,0,1,1,0,0,-1,211,382
483942,1,-1,0,visiting,Home,visiting,1,0,0,2,0,0,32,5,5,5,JOINT_NON_MANDATORY,0,0,1,1,0,0,1,1030,160
483942,1,-1,1,visiting,visiting,Home,2,0,0,1,0,0,37,5,5,5,JOINT_NON_MANDATORY,0,0,1,1,0,0,1,1191,248
2237244,0,-1,0,maintenance,Home,maintenance,1,0,0,4,0,0,27,5,4,5,JOINT_NON_MANDATORY,0,0,1,1,0,0,2,895,243
2237244,0,-1,1,maintenance,maintenance,Home,4,0,0,1,0,0,35,5,4,5,JOINT_NON_MANDATORY,0,0,1,1,0,0,2,1139,300
1972416,0,-1,0,visiting,Home,visiting,1,0,0,11,0,0,29,3,2,3,JOINT_NON_MANDATORY,0,0,1,3,0,0,1,959,148
1972416,0,-1,1,visiting,visiting,Home,11,0,0,1,0,0,34,3,2,3,JOINT_NON_MANDATORY,0,0,3,1,0,0,1,1108,331
3155289,0,-1,0,maintenance,Home,maintenance,1,0,0,63,0,0,12,3,2,3,JOINT_NON_MANDATORY,0,0,1,16,0,0,1,443,119
3155289,0,-1,1,maintenance,maintenance,Home,63,0,0,1,0,0,16,3,2,3,JOINT_NON_MANDATORY,0,0,16,1,0,0,1,569,216
3155289,1,-1,0,shop,Home,shop,1,0,0,20,0,0,24,3,2,3,JOINT_NON_MANDATORY,0,0,1,5,0,0,1,793,87
3155289,1,-1,1,shop,shop,Home,20,0,0,1,0,0,27,3,2,3,JOINT_NON_MANDATORY,0,0,5,1,0,0,1,883,553
364652,0,-1,0,shop,Home,shop,1,0,0,14,0,0,28,5,4,5,JOINT_NON_MANDATORY,0,0,1,4,0,0,1,909,234
364652,0,-1,1,shop,shop,Home,14,0,0,1,0,0,36,5,4,5,JOINT_NON_MANDATORY,0,0,4,1,0,0,1,1144,295
1944623,0,-1,0,maintenance,Home,maintenance,1,0,0,30,0,0,17,5,3,5,JOINT_NON_MANDATORY,0,0,1,8,0,0,2,579,5
1944623,0,-1,1,maintenance,maintenance,Home,30,0,0,1,0,0,17,5,3,5,JOINT_NON_MANDATORY,0,0,8,1,0,0,2,588,109
1588476,0,-1,0,visiting,Home,visiting,1,0,0,28,0,0,5,5,3,5,JOINT_NON_MANDATORY,0,0,1,7,0,0,1,213,18
1588476,0,-1,1,visiting,visiting,Home,28,0,0,1,0,0,5,5,3,5,JOINT_NON_MANDATORY,0,0,7,1,0,0,1,235,8
2066761,0,-1,0,shop,Home,shop,1,0,0,30,0,0,33,5,4,5,JOINT_NON_MANDATORY,0,0,1,8,0,0,2,1057,5
2066761,0,-1,1,shop,shop,Home,30,0,0,1,0,0,33,5,4,5,JOINT_NON_MANDATORY,0,0,8,1,0,0,2,1066,370
